Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
2023-11-02,231.7230224609375,34938.2421875,1800.6209716796875,0.6064389944076538,233.33607482910156,35919.84375,1873.885009765625,0.6241059899330139,227.90748596191406,34401.57421875,1790.11474609375,0.5932300090789795,228.0166473388672,35441.578125,1847.2598876953125,0.6095439791679382,487639810,20998158544,9004197724,1826715430
2023-11-03,230.60597229003906,34732.32421875,1832.795166015625,0.6130020022392273,232.21131896972656,34942.47265625,1835.072509765625,0.6152380108833313,226.34674072265625,34133.44140625,1779.635498046875,0.5939189791679382,231.70326232910156,34942.47265625,1800.91650390625,0.6063860058784485,332547803,17158456701,7622864055,1403532406
2023-11-04,237.45460510253906,35082.1953125,1857.6986083984375,0.6161839962005615,238.5099639892578,35256.03125,1867.2613525390625,0.6180210113525391,229.65533447265625,34616.69140625,1825.736572265625,0.6101379990577698,230.5974884033203,34736.32421875,1833.368896484375,0.6130399703979492,267965564,9561294264,4845080427,811373229
2023-11-05,244.32247924804688,35049.35546875,1894.15771484375,0.6611469984054565,245.59402465820312,35340.33984375,1911.608642578125,0.6611469984054565,236.7861785888672,34594.2421875,1848.6201171875,0.6152909994125366,237.44223022460938,35090.01171875,1857.3956298828125,0.6161800026893616,419858434,12412743996,8867152645,1923304412
2023-11-06,254.63479614257812,35037.37109375,1899.83740234375,0.715516984462738,255.34230041503906,35286.02734375,1914.5826416015625,0.7298719882965088,242.1800994873047,34765.36328125,1871.9730224609375,0.660660982131958,244.32044982910156,35044.7890625,1894.027099609375,0.661126971244812,524115628,12693436420,8104122602,3293503683
2023-11-07,246.39529418945312,35443.5625,1888.124267578125,0.6864020228385925,255.5460968017578,35892.41796875,1907.5614013671875,0.7155050039291382,242.69497680664062,34545.81640625,1852.7908935546875,0.6576589941978455,254.65328979492188,35047.79296875,1900.5997314453125,0.7155050039291382,549207441,18834737789,9203228152,2813667010
2023-11-08,247.123291015625,35655.27734375,1889.3223876953125,0.6880760192871094,247.80906677246094,35994.41796875,1904.5462646484375,0.6968960165977478,244.58038330078125,35147.80078125,1874.545654296875,0.6740289926528931,246.39012145996094,35419.4765625,1887.1190185546875,0.6863200068473816,369346518,17295394918,6751627017,1770450557
2023-11-09,251.51084899902344,36693.125,2120.56103515625,0.6674749851226807,255.45465087890625,37926.2578125,2130.88525390625,0.7043129801750183,243.3295440673828,35592.1015625,1884.204345703125,0.6463189721107483,247.0521697998047,35633.6328125,1888.9403076171875,0.688031017780304,1116630429,37762672382,24709695029,3292007279
2023-11-10,251.08236694335938,37313.96875,2078.289794921875,0.6605749726295471,257.78802490234375,37493.80078125,2134.69140625,0.6705390214920044,248.9433135986328,36362.75390625,2068.13427734375,0.643110990524292,251.52682495117188,36702.25,2121.0673828125,0.6676030158996582,873515280,22711265155,14740624457,2009821437
2023-11-11,251.42161560058594,37138.05078125,2052.7138671875,0.6627349853515625,255.07839965820312,37407.09375,2089.530517578125,0.680741012096405,246.72113037109375,36773.66796875,2035.0821533203125,0.6443160176277161,251.09848022460938,37310.0703125,2078.058349609375,0.6605600118637085,872206327,13924272142,10228351203,1754960201
2023-11-12,247.6400146484375,37054.51953125,2045.18701171875,0.6615359783172607,251.6469268798828,37227.69140625,2066.00341796875,0.6704530119895935,245.83245849609375,36779.1171875,2019.028076171875,0.6503880023956299,251.43441772460938,37133.9921875,2053.11865234375,0.6627479791641235,758715918,11545715999,7951011698,988542527
2023-11-13,241.33506774902344,36502.35546875,2055.265380859375,0.6715239882469177,250.1243133544922,37405.1171875,2116.0107421875,0.740568995475769,241.12713623046875,36399.60546875,2031.9542236328125,0.6451879739761353,247.64047241210938,37070.3046875,2045.3544921875,0.6615980267524719,888039233,19057712790,14322027970,3089036403
2023-11-14,242.263671875,35537.640625,1979.0526123046875,0.6296730041503906,248.66522216796875,36753.3515625,2065.06689453125,0.6714940071105957,236.28573608398438,34948.5,1939.2803955078125,0.6076170206069946,241.36984252929688,36491.7890625,2054.765380859375,0.6714940071105957,917236070,23857403554,13087862495,2298949026
2023-11-15,253.75534057617188,37880.58203125,2060.408447265625,0.6496480107307434,254.18177795410156,37964.89453125,2061.99169921875,0.6501539945602417,242.26116943359375,35383.78125,1968.774658203125,0.6265640258789062,242.281005859375,35548.11328125,1979.47265625,0.629725992679596,921052035,27365821679,12626326991,1441133011
2023-11-16,242.75888061523438,36154.76953125,1960.881591796875,0.61216801404953,255.5850372314453,37934.625,2088.662353515625,0.652059018611908,240.67567443847656,35545.47265625,1940.57421875,0.6074169874191284,253.74478149414062,37879.98046875,2059.9658203125,0.6496090292930603,950453378,26007385366,14651619483,1756409884
2023-11-17,244.745361328125,36596.68359375,1961.28076171875,0.6137170195579529,245.9875946044922,36704.484375,1990.050537109375,0.6238399744033813,238.99964904785156,35901.234375,1910.4454345703125,0.5899869799613953,242.83995056152344,36164.82421875,1961.8675537109375,0.6121990084648132,788884171,22445028430,11881648738,1462505199
2023-11-18,244.9507598876953,36585.703125,1963.2850341796875,0.6111890077590942,245.35305786132812,36839.28125,1971.4622802734375,0.6144880056381226,239.28082275390625,36233.3125,1921.0623779296875,0.5933169722557068,244.7462615966797,36625.37109375,1961.6712646484375,0.6137380003929138,679630905,11886022717,8064677046,836754904
2023-11-19,246.58778381347656,37386.546875,2013.2044677734375,0.627498984336853,246.93626403808594,37509.35546875,2015.6339111328125,0.6287199854850769,242.4235076904297,36414.59765625,1944.90087890625,0.6030430197715759,244.96768188476562,36585.765625,1963.1800537109375,0.6111869812011719,618053586,12915986553,7716048818,960738459
2023-11-20,253.6350860595703,37476.95703125,2022.2391357421875,0.6128420233726501,263.8700256347656,37756.8203125,2066.409912109375,0.627888023853302,243.14175415039062,36882.53125,1996.0443115234375,0.6122310161590576,246.5845489501953,37374.07421875,2011.8533935546875,0.6274200081825256,1289010990,20888209068,12866464824,1151372006
2023-11-21,226.4864044189453,35813.8125,1937.0667724609375,0.5804619789123535,269.9175720214844,37631.140625,2035.035888671875,0.6178200244903564,224.98170471191406,35813.8125,1937.0667724609375,0.5792890191078186,253.64385986328125,37469.16015625,2022.21728515625,0.6128339767456055,2480554399,25172163756,13653500841,1664786743
2023-11-22,236.1365966796875,37432.33984375,2064.42529296875,0.6118990182876587,238.17669677734375,37856.98046875,2089.51416015625,0.6151120066642761,225.6582489013672,35670.97265625,1933.1629638671875,0.5794370174407959,226.46131896972656,35756.5546875,1933.5831298828125,0.5804430246353149,1338117919,24397247860,13372200584,1332443782
2023-11-23,233.76580810546875,37289.62109375,2062.210693359375,0.6202419996261597,238.7913360595703,37643.91796875,2088.031982421875,0.6227570176124573,230.7522430419922,36923.86328125,2041.4642333984375,0.6073259711265564,236.0960235595703,37420.43359375,2063.905517578125,0.6118599772453308,766695224,14214948217,7828437946,1233580691
2023-11-24,232.9009552001953,37720.28125,2081.152099609375,0.6218810081481934,236.37930297851562,38415.33984375,2132.481201171875,0.6252779960632324,232.19285583496094,37261.60546875,2060.9990234375,0.6175259947776794,233.75270080566406,37296.31640625,2062.411865234375,0.6202499866485596,709881299,22922957823,12141148820,1220784875
2023-11-25,234.43994140625,37796.79296875,2084.4130859375,0.6234440207481384,235.7812957763672,37892.4296875,2091.3427734375,0.6234750151634216,232.683349609375,37617.41796875,2067.917236328125,0.6169270277023315,232.9174346923828,37721.4140625,2081.296142578125,0.6218580007553101,553022191,9099571165,5362623390,604505841
2023-11-26,232.0471954345703,37479.12109375,2063.2861328125,0.6168190240859985,234.49465942382812,37820.30078125,2094.095947265625,0.6355940103530884,229.3850555419922,37162.75,2038.6004638671875,0.6124240159988403,234.42820739746094,37796.828125,2084.177490234375,0.6234520077705383,606332049,13744796068,8054814154,1126158902
2023-11-27,227.42147827148438,37254.16796875,2027.4173583984375,0.6041529774665833,232.80938720703125,37559.35546875,2070.606201171875,0.6169559955596924,223.48683166503906,36750.12890625,1988.120361328125,0.5967379808425903,231.98388671875,37454.19140625,2062.390869140625,0.6167470216751099,795547656,19002925720,10574810069,1209304147
2023-11-28,229.69296264648438,37831.0859375,2049.338134765625,0.6114220023155212,231.75552368164062,38368.48046875,2074.9541015625,0.6139659881591797,224.6786346435547,36891.08984375,1996.814697265625,0.5975340008735657,227.42799377441406,37247.9921875,2027.5172119140625,0.6041399836540222,674267936,21696137014,9910633038,1079777511
2023-11-29,227.34275817871094,37858.4921875,2029.92919921875,0.609358012676239,231.19744873046875,38366.11328125,2071.994384765625,0.6165099740028381,226.51943969726562,37612.6328125,2020.756591796875,0.6051130294799805,229.6932373046875,37826.10546875,2049.186767578125,0.6114100217819214,602240832,20728546658,8945151861,1007163957
2023-11-30,227.68380737304688,37712.74609375,2052.55615234375,0.606357991695404,229.1439666748047,38141.75390625,2054.4443359375,0.6096320152282715,226.22654724121094,37531.140625,2022.4617919921875,0.5998160243034363,227.34303283691406,37861.1171875,2029.3583984375,0.6093549728393555,572448874,18115982627,8107789163,980182657
2023-12-01,228.54563903808594,38688.75,2087.139892578125,0.6129149794578552,229.8910675048828,38954.109375,2109.319091796875,0.6139929890632629,227.232666015625,37629.359375,2046.5570068359375,0.6043859720230103,227.68881225585938,37718.0078125,2052.0966796875,0.6063500046730042,611750028,23512784002,10866891430,919121548
2023-12-02,229.30084228515625,39476.33203125,2165.7041015625,0.6209759712219238,230.0343017578125,39678.9375,2182.81787109375,0.6224589943885803,226.68960571289062,38652.59375,2087.407958984375,0.6117460131645203,228.53855895996094,38689.27734375,2087.66357421875,0.6129140257835388,628871423,15534035612,9130124831,667809511
2023-12-03,228.09820556640625,39978.390625,2193.691650390625,0.6237229704856873,231.6390380859375,40135.60546875,2213.17578125,0.6329129934310913,226.4960174560547,39298.1640625,2151.720947265625,0.6180999875068665,229.28953552246094,39472.20703125,2165.895751953125,0.6209980249404907,719496781,15769696322,8278465782,993447972
2023-12-04,233.29530334472656,41980.09765625,2243.2158203125,0.6243739724159241,236.83494567871094,42371.75,2273.06982421875,0.6410880088806152,227.1553192138672,39978.62890625,2193.00732421875,0.6079999804496765,228.07546997070312,39978.62890625,2193.663330078125,0.6236760020256042,2139028703,39856129827,16149367134,1947607222
2023-12-05,231.2613525390625,44080.6484375,2293.841796875,0.6219969987869263,234.48468017578125,44408.6640625,2306.5703125,0.6283730268478394,228.40753173828125,41421.1484375,2191.17626953125,0.6093699932098389,233.30865478515625,41986.265625,2243.092529296875,0.624396026134491,851959167,36312154535,15383072559,1452525777
2023-12-06,229.42440795898438,43746.4453125,2231.661376953125,0.6403329968452454,234.5861053466797,44265.76953125,2310.713134765625,0.6421639919281006,229.42440795898438,43478.08203125,2225.0810546875,0.6156839728355408,231.26344299316406,44080.0234375,2293.628173828125,0.6219620108604431,850327297,29909761586,12790612571,2038373923
2023-12-07,232.97743225097656,43292.6640625,2357.57958984375,0.6436319947242737,234.53843688964844,44042.58984375,2380.729736328125,0.6530579924583435,229.2009735107422,42880.6484375,2225.050537109375,0.6261299848556519,229.53221130371094,43769.1328125,2233.2177734375,0.640487015247345,813730268,27635760671,14766891042,1839789008
2023-12-08,238.91598510742188,44166.6015625,2358.73193359375,0.6731380224227905,239.8386993408203,44705.515625,2387.514404296875,0.6742069721221924,232.6486053466797,43125.296875,2340.92041015625,0.6400399804115295,232.9604949951172,43293.13671875,2357.169189453125,0.643667995929718,828993280,24421116687,12543458699,1892803940
2023-12-09,237.7686004638672,43725.984375,2341.17529296875,0.658814013004303,245.00527954101562,44361.2578125,2401.760498046875,0.6988379955291748,237.07989501953125,43627.59765625,2331.666015625,0.6578440070152283,238.9132537841797,44180.01953125,2358.68603515625,0.673130989074707,856746249,17368210171,10613312823,2229504514
2023-12-10,239.733154296875,43779.69921875,2352.462646484375,0.6615779995918274,241.25057983398438,44034.625,2376.749755859375,0.6703150272369385,237.55775451660156,43593.28515625,2323.40576171875,0.649806022644043,237.79371643066406,43728.3828125,2341.440185546875,0.6588580012321472,640133489,13000481418,7369608905,1170952363
2023-12-11,246.42086791992188,41243.83203125,2224.578857421875,0.6202110052108765,246.755859375,43808.375,2354.9140625,0.6627510190010071,230.53103637695312,40234.578125,2160.358154296875,0.6050969958305359,239.76890563964844,43792.01953125,2352.49658203125,0.6616330146789551,1442275453,40632672038,17989249470,2252797875
2023-12-12,254.49497985839844,41450.22265625,2202.0380859375,0.6195489764213562,256.7091979980469,42048.3046875,2242.55126953125,0.6257209777832031,245.991943359375,40667.5625,2166.77001953125,0.6082540154457092,246.36578369140625,41238.734375,2224.39111328125,0.6199619770050049,1394681963,24779520132,11391132228,1458882180
2023-12-13,252.42332458496094,42890.7421875,2260.648681640625,0.6284859776496887,255.56297302246094,43429.78125,2283.09912109375,0.6334260106086731,244.81398010253906,40676.8671875,2150.75439453125,0.5987930297851562,254.40396118164062,41468.46484375,2202.600341796875,0.6195080280303955,1052163656,26797884674,12576395493,1557123843
2023-12-14,253.5412139892578,43023.97265625,2316.5791015625,0.6324319839477539,254.08792114257812,43390.859375,2331.6015625,0.6375060081481934,248.7257080078125,41767.08984375,2239.3662109375,0.617451012134552,252.40560913085938,42884.26171875,2260.736083984375,0.6284130215644836,876150236,25578530178,12608711052,1428433767
2023-12-15,244.8984375,41929.7578125,2219.33740234375,0.6154919862747192,253.54971313476562,43087.82421875,2316.892822265625,0.6419489979743958,243.86737060546875,41692.96875,2214.26318359375,0.6150820255279541,253.51744079589844,43028.25,2316.1103515625,0.6324359774589539,769388533,19639442462,10259157898,1392239590
